,rider_id,no_of_orders,age,average_rating,no_of_ratings
913,139,676,153,14.4,66
914,221,22,142,15.0,5
915,673,314,152,9.6,11
916,826,167,138,15.0,19
917,203,8,141,0.0,0
918,542,18,132,12.0,5
919,310,282,326,14.7,46
920,706,124,133,15.0,8
921,838,45,138,0.0,0
922,115,10,2214,15.0,3
923,55,267,138,14.7,31
924,788,231,139,14.5,25
925,146,191,130,13.5,31
926,429,123,130,14.8,24
927,176,417,136,12.8,34
928,162,1574,2273,13.6,209
929,42,389,130,14.9,46
930,255,24,130,13.5,4
931,261,27,129,15.0,5
932,243,273,125,13.9,38
933,944,238,127,14.0,23
934,643,265,139,14.4,31
935,739,425,129,14.2,49
936,894,476,116,14.9,48
937,827,59,118,12.0,4
938,109,297,136,14.8,22
939,475,42,138,15.0,2
940,36,304,127,12.9,22
941,271,301,114,12.0,24
942,35,35,113,15.0,2
943,60,89,111,13.5,9
944,133,82,110,15.0,5
945,834,336,111,14.3,35
946,481,42,119,15.0,13
947,577,591,300,13.4,47
948,766,78,125,14.1,6
949,371,250,115,14.8,25
950,637,10,106,0.0,0
951,773,5,105,0.0,0
952,891,489,103,13.3,35
953,67,55,99,13.0,6
954,492,185,103,15.0,12
955,896,152,99,12.4,18
956,149,69,101,10.2,10
957,270,338,96,14.4,41
958,201,159,96,15.0,9
959,904,172,108,13.7,18
